PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS
2013-06-01,207000.0,9567.0,12064.0,31447.0,3.3,40.0,0.2203071835
2013-06-01,172000.0,973.0,1082.0,2714.0,2.8,39.0,0.213706706
2013-06-01,145000.0,395.0,674.0,2075.0,5.3,44.0,0.1918072289
2013-06-01,149562.789254156,2138.981724327,2788.51059194,7157.647294514,3.491538062,54.017030254,0.193821253
2013-06-01,178940.38516378,7684.126808499,10275.906141288,28916.419724738,3.867162431,53.646379602,0.2071750997
2013-06-01,175000.0,2676.0,3156.0,7695.0,2.9,44.0,0.1981806368
2013-06-01,225000.0,5523.0,7152.0,18963.0,3.4,37.0,0.233612825
2013-07-01,202500.0,10134.0,11805.0,31890.0,3.1,38.0,0.2483223581
2013-07-01,182301.924194672,8101.787946425,10400.108844474,28791.954017008,3.599425271,50.684290935,0.2149023424
2013-07-01,155007.528636644,2284.440285807,2836.515374565,7063.432992227,3.304484857,47.279769473,0.1996437619
2013-07-01,161766.554684487,798.392428551,942.196782258,2440.571931494,3.192906207,49.372609819,0.2048402103
2013-07-01,200279.200418528,4602.384510444,6012.544694762,17352.030669789,3.852222907,51.267727924,0.2251709338
2013-07-01,175000.0,2872.0,3174.0,7697.0,2.7,38.0,0.2254124984
2013-07-01,170000.0,983.0,1099.0,2716.0,2.8,39.0,0.234904271
2013-07-01,145000.0,446.0,669.0,2117.0,4.7,46.0,0.217288616
2013-07-01,224000.0,5833.0,6863.0,19360.0,3.3,37.0,0.262964876
2013-08-01,153250.0,422.0,690.0,2188.0,5.2,39.0,0.2138939671
2013-08-01,200590.09408561,4698.651380503,6264.911551431,17770.697762701,3.877478999,48.87084459,0.2297161149
2013-08-01,159574.435099286,2330.757757007,2842.748211079,7038.768700981,3.285934153,46.24495413,0.2020198907
2013-08-01,216500.0,5762.0,6539.0,19455.0,3.4,38.0,0.2688768954
2013-08-01,198000.0,9964.0,11215.0,31867.0,3.2,39.0,0.2524868987
2013-08-01,160694.641743741,778.631569859,975.053224565,2465.071754447,3.226103927,43.767171663,0.2141189233
2013-08-01,169000.0,975.0,1073.0,2699.0,2.8,38.0,0.2586143016
2013-08-01,182420.914926332,8160.490672273,10797.02129738,29260.495505768,3.63613515,48.225013393,0.2188054476
2013-08-01,176000.0,2805.0,2913.0,7525.0,2.7,40.0,0.2198006645
2013-09-01,160000.0,2331.0,2784.0,7829.0,3.4,44.0,0.2122876485
2013-09-01,150000.0,432.0,631.0,2226.0,5.2,43.0,0.2124887691
2013-09-01,198126.031630541,4733.245244099,6191.952829096,18150.592517393,3.998737941,47.259294585,0.2316404182
2013-09-01,183821.050650099,8288.45583158,10751.539848427,29986.795825975,3.669457746,47.864165393,0.2164358118
2013-09-01,200000.0,4719.0,5680.0,19661.0,4.2,40.0,0.2576166014
2013-09-01,158731.866673975,790.56836169,988.501085587,2495.246641734,3.165839353,43.977510394,0.1922355746
2013-09-01,185000.0,8300.0,10057.0,32434.0,3.9,41.0,0.2409816859
2013-09-01,160365.0168546,2295.513203924,2821.941419013,7231.380388451,3.29628022,48.916481093,0.1928938066
2013-09-01,158000.0,818.0,962.0,2718.0,3.3,40.0,0.227740986
2013-10-01,164000.0,817.0,830.0,2654.0,3.2,41.0,0.2388847023
2013-10-01,145000.0,2259.0,2489.0,7893.0,3.5,43.0,0.2342582035
2013-10-01,202329.369452723,4472.899395651,6297.526890374,18781.404962201,4.337934649,46.93075201,0.2337157755
2013-10-01,194900.0,4603.0,5409.0,19580.0,4.3,45.0,0.2647088866
2013-10-01,158330.521552974,2247.44234803,2837.41821339,7592.857141943,3.458616147,45.484100987,0.2023931433
2013-10-01,164323.579971186,772.812074978,930.826743045,2525.895854934,3.242976785,42.287419558,0.1916555803
2013-10-01,175000.0,8096.0,9315.0,32361.0,4.0,44.0,0.2521244708
