PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS,MONTH,YEAR,MEDIAN_SALE_PRICE_LAG_1,MEDIAN_SALE_PRICE_LAG_3,HOMES_SOLD_LAG_1,HOMES_SOLD_LAG_3,NEW_LISTINGS_LAG_1,NEW_LISTINGS_LAG_3,INVENTORY_LAG_1,INVENTORY_LAG_3,MONTHS_OF_SUPPLY_LAG_1,MONTHS_OF_SUPPLY_LAG_3,MEDIAN_DOM_LAG_1,MEDIAN_DOM_LAG_3,PRICE_DROPS_LAG_1,PRICE_DROPS_LAG_3,MEDIAN_SALE_PRICE_ROLL3,MEDIAN_SALE_PRICE_ROLL6,HOMES_SOLD_ROLL3,HOMES_SOLD_ROLL6,NEW_LISTINGS_ROLL3,NEW_LISTINGS_ROLL6,INVENTORY_ROLL3,INVENTORY_ROLL6,MONTHS_OF_SUPPLY_ROLL3,MONTHS_OF_SUPPLY_ROLL6,MEDIAN_DOM_ROLL3,MEDIAN_DOM_ROLL6,PRICE_DROPS_ROLL3,PRICE_DROPS_ROLL6,PRICE_DROPS_YOY,RISK_SCORE,RISK_LABEL
2015-04-01,210000.0,8018.0,14830.0,35006.0,4.4,54.0,0.258812775,4,2015,200000.0,178000.0,7196.0,4919.0,13877.0,8421.0,32580.0,29708.0,4.5,6.0,72.0,70.0,0.2335481891,0.2146559849,183333.33333333334,184000.0,5716.333333333333,6367.166666666667,10686.0,8941.0,30926.0,31891.833333333332,5.533333333333332,5.116666666666666,74.0,64.66666666666667,0.21216513900000003,0.22472537951666668,2.8835328109623415,0.5116139917084565,1
2015-05-01,223000.0,9199.0,14059.0,36322.0,3.9,42.0,0.2710203183,5,2015,210000.0,172000.0,8018.0,5034.0,14830.0,9760.0,35006.0,30490.0,4.4,6.1,54.0,80.0,0.258812775,0.188291243,194000.0,187833.33333333334,6749.333333333333,6384.666666666667,12822.333333333334,9829.5,32692.0,31762.0,5.0,5.1000000000000005,68.66666666666667,65.33333333333333,0.22688406903333336,0.21769084528333335,-0.5520999946493355,0.2143626313125164,1
2015-06-01,234000.0,11272.0,13507.0,37293.0,3.3,39.0,0.2915560561,6,2015,223000.0,200000.0,9199.0,7196.0,14059.0,13877.0,36322.0,32580.0,3.9,4.5,42.0,72.0,0.2710203183,0.2335481891,211000.0,194500.0,8137.666666666667,6898.833333333333,14255.333333333334,11050.666666666666,34636.0,32302.5,4.266666666666667,4.8500000000000005,56.0,63.166666666666664,0.2544604274666667,0.22569734038333333,-4.590276252644565,0.09651576686385087,1
2015-07-01,228000.0,10687.0,12426.0,37506.0,3.5,41.0,0.3016850637,7,2015,234000.0,210000.0,11272.0,8018.0,13507.0,14830.0,37293.0,35006.0,3.3,4.4,39.0,54.0,0.2915560561,0.258812775,222333.33333333334,202833.33333333334,9496.333333333334,7606.333333333333,14132.0,12409.0,36207.0,33566.5,3.8666666666666667,4.7,45.0,59.5,0.2737963831333334,0.2429807610666667,0.6218632954795078,0.2563982757848689,1
2015-08-01,223000.0,9464.0,11020.0,36762.0,3.9,45.0,0.289701322,8,2015,228000.0,223000.0,10687.0,9199.0,12426.0,14059.0,37506.0,36322.0,3.5,3.9,41.0,42.0,0.3016850637,0.2710203183,228333.33333333334,211166.66666666666,10386.0,8567.666666666666,13330.666666666666,13076.5,37040.333333333336,34866.166666666664,3.5666666666666664,4.283333333333334,40.666666666666664,54.666666666666664,0.28808714603333335,0.2574856075333333,-0.7642525246074117,0.38094807662738006,1
2015-09-01,210000.0,8486.0,10139.0,35966.0,4.2,47.0,0.2894400267,9,2015,223000.0,234000.0,9464.0,11272.0,11020.0,13507.0,36762.0,37293.0,3.9,3.3,45.0,39.0,0.289701322,0.2915560561,228333.33333333334,219666.66666666666,10474.333333333334,9306.0,12317.666666666666,13286.5,37187.0,35911.5,3.5666666666666664,3.9166666666666665,41.666666666666664,48.833333333333336,0.29431414726666666,0.2743872873666667,-1.3807857260531131,0.5093714635327911,1
2015-10-01,200000.0,8120.0,9222.0,34295.0,4.2,53.0,0.2794284881,10,2015,210000.0,228000.0,8486.0,10687.0,10139.0,12426.0,35966.0,37506.0,4.2,3.5,47.0,41.0,0.2894400267,0.3016850637,220333.33333333334,221333.33333333334,9545.666666666666,9521.0,11195.0,12663.5,36744.666666666664,36475.833333333336,3.8666666666666667,3.8666666666666667,44.333333333333336,44.666666666666664,0.29360880413333335,0.28370259363333333,-5.288392409172293,0.5557082002077446,1
2015-11-01,196500.0,6124.0,6621.0,30922.0,5.0,56.0,0.2119203156,11,2015,200000.0,223000.0,8120.0,9464.0,9222.0,11020.0,34295.0,36762.0,4.2,3.9,53.0,45.0,0.2794284881,0.289701322,211000.0,219666.66666666666,8690.0,9538.0,10127.0,11728.833333333334,35674.333333333336,36357.333333333336,4.1000000000000005,3.8333333333333335,48.333333333333336,44.5,0.28618994560000005,0.28713854581666665,-7.172777126391717,0.45205229999294794,0
2015-12-01,200000.0,7280.0,4954.0,26998.0,3.7,60.0,0.1650863027,12,2015,196500.0,210000.0,6124.0,8486.0,6621.0,10139.0,30922.0,35966.0,5.0,4.2,56.0,47.0,0.2119203156,0.2894400267,202166.66666666666,215250.0,7576.666666666667,9025.5,8660.666666666666,10489.166666666666,33727.666666666664,35457.333333333336,4.466666666666666,4.016666666666667,52.0,46.833333333333336,0.2602629434666667,0.27728854536666664,-4.9605189914277315,-0.1690804975527873,0
2016-01-01,190000.0,5398.0,8141.0,27037.0,5.0,68.0,0.189111218,1,2016,200000.0,200000.0,7280.0,8120.0,4954.0,9222.0,26998.0,34295.0,3.7,4.2,60.0,53.0,0.1650863027,0.2794284881,198833.33333333334,209583.33333333334,7174.666666666667,8360.166666666666,6932.333333333333,9063.666666666666,30738.333333333332,33741.5,4.3,4.083333333333333,56.333333333333336,50.333333333333336,0.21881170213333334,0.25621025313333334,-12.120606222019592,0.5278571647667791,0
